DATE,COE,GVA,OUTPUT,IC,D29-D39,INDUSTRY
1998,3820,8982,12859,6860,287,67
1998,10707,27747,36153,19284,681,68
1998,5718,10807,19827,10002,99,69
1998,3084,12658,13700,5630,72,70
1998,8218,25436,28004,12669,152,71
1998,10363,37480,23631,9554,162,72
1998,1230,4855,3288,1252,37,73
1998,18064,72290,69257,38730,756,74
1998,5187,22320,33867,19231,274,75
1998,4962,19518,13391,6921,127,76
1998,5386,39602,28790,11701,-684,77
1998,0,127682,112507,11543,0,78
1998,1560,7906,3907,984,90,79
1998,4205,19428,12759,4099,172,80
1998,3901,15092,9856,2476,94,81
1998,3523,16256,11182,5088,184,82
1998,8686,22249,21722,8334,264,83
1998,2254,8479,8079,1925,34,84
1998,2106,8365,6930,2538,69,85
1998,2542,7892,6803,3228,75,86
1998,766,2309,1683,604,21,87
1998,4735,13357,13803,5861,254,88
1998,4789,14361,14838,7294,90,89
1998,3173,8396,10302,6066,69,90
1998,790,3050,2561,1211,14,91
1998,2117,8295,7691,3667,45,92
1998,5034,16465,14161,6976,139,93
1998,33997,79249,71337,28156,0,94
1998,40214,96249,58397,13053,130,95
1998,26394,84156,50854,14203,27,96
1998,10949,27409,23634,8018,45,97
1998,845,4222,4353,2647,28,98
1998,1414,2769,2674,1172,8,99
1998,1303,9268,7816,1994,130,100
1998,838,3990,7023,4870,87,101
1998,4751,13112,7769,1930,82,102
1998,646,2295,2263,1219,31,103
1998,1683,15367,12172,4971,183,104
1998,3289,5868,3599,0,0,105
1999,2751,7943,18036,10093,-184,1
1999,162,276,680,404,4,2
1999,57,404,878,474,15,3
1999,344,463,1210,747,27,4
1999,1404,13348,18461,5113,52,5
1999,1027,772,3447,2675,56,6
1999,155,1241,1839,598,12,7
1999,2050,2650,9220,6570,26,8
1999,1275,1860,5253,3393,19,9
1999,122,173,1144,971,3,10
1999,1055,1506,6744,5238,20,11
1999,537,702,4478,3776,12,12
1999,2142,2727,6699,3972,48,13
1999,2784,4465,11836,7371,48,14
1999,633,904,3399,2495,14,15
1999,1530,4438,9135,4697,60,16
1999,263,853,2903,2050,18,17
1999,2715,3115,8124,5009,73,18
1999,2096,2418,5400,2982,55,19
1999,476,605,1259,654,10,20
1999,1397,2080,5247,3167,57,21
1999,2800,3746,10404,6658,83,22
1999,3938,5841,12593,6752,106,23
1999,1619,2554,10730,8176,44,24
1999,767,915,2747,1832,17,25
1999,1126,2010,5403,3393,22,26
1999,1113,1975,4769,2794,26,27
1999,663,1059,3165,2106,23,28
1999,2311,3622,12293,8671,60,29
1999,503,904,2163,1259,13,30
1999,2432,6943,12322,5379,32,31
1999,5474,7711,18071,10360,146,32
1999,1376,1994,5091,3097,54,33
1999,2047,2688,6075,3387,71,34
1999,1912,2305,8339,6034,75,35
1999,1666,2005,7222,5217,41,36
1999,397,455,1270,815,8,37
1999,9472,11559,24628,13069,220,38
1999,6671,10070,30253,20183,132,39
1999,3774,5417,12847,7430,99,40
1999,7632,10194,26148,15954,166,41
1999,7076,7886,32849,24963,135,42
1999,902,1052,2231,1179,12,43
1999,3025,5721,13947,8226,36,44
1999,307,448,2064,1616,7,45
1999,2238,3145,7337,4192,57,46
1999,1920,2922,6637,3715,57,47
1999,284,292,626,334,4,48
1999,722,1206,3091,1885,8,49
1999,2589,4614,10524,5910,51,50
1999,2737,9336,32111,22775,729,51
1999,1448,3111,10540,7429,238,52
1999,759,2981,4298,1317,197,53
1999,689,2749,4161,1412,39,54
1999,980,3386,9807,6421,148,55
1999,31,23,79,56,2,56
1999,24558,50362,123422,73060,589,57
1999,9276,14823,29261,14438,712,58
1999,24406,40063,88009,47946,1140,59
1999,27332,53956,82821,28865,3119,60
1999,2084,2377,6615,4238,-87,61
1999,11531,16469,31536,15067,511,62
1999,1264,1675,5067,3392,15,63
1999,2911,5123,13334,8211,0,64
1999,7588,11168,25671,14503,542,65
1999,5804,7112,10747,3635,195,66
1999,4159,6500,13560,7060,294,67
1999,11640,18080,38051,19971,796,68
1999,6262,10451,21048,10597,83,69
1999,3450,8613,14490,5877,88,70
1999,8880,16924,30197,13273,181,71
1999,12127,16345,28110,11765,208,72
1999,1430,2278,3700,1422,49,73
1999,21484,29449,74993,45544,758,74
1999,5226,12657,33024,20367,285,75
1999,5656,7264,14692,7428,134,76
1999,5443,17799,29886,12087,-407,77
1999,0,106178,118191,12013,0,78
1999,1631,3171,4183,1012,100,79
1999,4705,9319,13850,4531,164,80
1999,4244,7740,10492,2752,93,81
1999,4066,6817,12822,6005,153,82
1999,9275,13873,22714,8841,190,83
1999,2362,6271,8438,2167,40,84
1999,2625,4960,8011,3051,84,85
1999,2905,4071,7755,3684,69,86
1999,816,1131,1822,691,14,87
1999,5143,8637,14671,6034,273,88
1999,5488,8611,16617,8006,83,89
1999,3231,4383,10904,6521,62,90
1999,904,1534,2907,1373,9,91
1999,2327,4314,8173,3859,52,92
1999,5765,8264,16383,8119,108,93
1999,36298,45507,76584,31077,0,94
1999,43080,48653,61795,13142,134,95
1999,27909,38424,53217,14793,30,96
1999,11742,16677,25669,8992,51,97
1999,951,1940,4629,2689,49,98
1999,1438,1510,2899,1389,7,99
