DATE,COE,GVA,WAGESHARE,INDUSTRY,MANUFACTURING
1999,5143,8637,0.6,88,0
2000,5439,8807,0.62,88,0
2001,5885,9514,0.62,88,0
2002,5855,10013,0.58,88,0
2003,5976,10599,0.56,88,0
2004,5849,11273,0.52,88,0
2005,5902,11758,0.5,88,0
2006,6183,11933,0.52,88,0
2007,6533,12811,0.51,88,0
2008,6455,13099,0.49,88,0
2009,6665,12770,0.52,88,0
2010,7007,13434,0.52,88,0
2011,6959,13357,0.52,88,0
2012,7395,13905,0.53,88,0
2013,7567,14169,0.53,88,0
2014,7644,15467,0.49,88,0
1997,4028,6450,0.62,89,0
1998,4789,14361,0.33,89,0
1999,5488,8611,0.64,89,0
2000,6554,10107,0.65,89,0
2001,7152,10607,0.67,89,0
2002,7420,11143,0.67,89,0
2003,7859,12188,0.64,89,0
2004,8246,12718,0.65,89,0
2005,8563,13133,0.65,89,0
2006,8906,14470,0.62,89,0
2007,9569,14867,0.64,89,0
2008,10029,16633,0.6,89,0
2009,10028,15374,0.65,89,0
2010,9380,15171,0.62,89,0
2011,8367,14361,0.58,89,0
2012,8995,14718,0.61,89,0
2013,9488,15518,0.61,89,0
2014,10075,16540,0.61,89,0
1997,2884,3941,0.73,90,0
1998,3173,8396,0.38,90,0
1999,3231,4383,0.74,90,0
2000,3403,4521,0.75,90,0
2001,3533,4625,0.76,90,0
2002,3880,5055,0.77,90,0
2003,4040,5407,0.75,90,0
2004,4075,5332,0.76,90,0
2005,4224,5290,0.8,90,0
2006,4529,6033,0.75,90,0
2007,4826,6423,0.75,90,0
2008,5243,6943,0.76,90,0
2009,5254,7170,0.73,90,0
2010,5169,7241,0.71,90,0
2011,5820,8396,0.69,90,0
2012,6314,9399,0.67,90,0
2013,6472,9823,0.66,90,0
2014,6470,10522,0.61,90,0
1997,659,1180,0.56,91,0
1998,790,3050,0.26,91,0
1999,904,1534,0.59,91,0
2000,1078,1782,0.6,91,0
2001,1181,1892,0.62,91,0
2002,1218,1970,0.62,91,0
2003,1288,2125,0.61,91,0
2004,1356,2194,0.62,91,0
2005,1407,2334,0.6,91,0
2006,1465,2495,0.59,91,0
2007,1581,2542,0.62,91,0
2008,1532,2575,0.59,91,0
2009,1451,2618,0.55,91,0
2010,1489,2825,0.53,91,0
2011,1482,3050,0.49,91,0
2012,1695,3311,0.51,91,0
2013,1649,3371,0.49,91,0
2014,1611,3327,0.48,91,0
1997,1872,3714,0.5,92,0
1998,2117,8295,0.26,92,0
1999,2327,4314,0.54,92,0
2000,2601,4618,0.56,92,0
2001,2800,4886,0.57,92,0
2002,2901,5207,0.56,92,0
2003,3040,5660,0.54,92,0
2004,3236,5917,0.55,92,0
2005,3411,5987,0.57,92,0
2006,3627,6503,0.56,92,0
2007,3855,6847,0.56,92,0
2008,3969,7571,0.52,92,0
2009,3924,7451,0.53,92,0
2010,4052,7958,0.51,92,0
2011,3960,8295,0.48,92,0
2012,4716,8959,0.53,92,0
2013,5620,9683,0.58,92,0
2014,5730,9901,0.58,92,0
1997,4261,6285,0.68,93,0
1998,5034,16465,0.31,93,0
1999,5765,8264,0.7,93,0
2000,6852,9990,0.69,93,0
2001,7479,10323,0.72,93,0
2002,7775,10466,0.74,93,0
2003,8264,11369,0.73,93,0
2004,8657,12008,0.72,93,0
2005,9123,12726,0.72,93,0
2006,9438,13705,0.69,93,0
2007,10130,14449,0.7,93,0
2008,10016,14329,0.7,93,0
2009,10263,14580,0.7,93,0
2010,10296,15015,0.69,93,0
2011,11049,16465,0.67,93,0
2012,11903,17696,0.67,93,0
2013,12989,19243,0.67,93,0
2014,13187,20753,0.64,93,0
1997,34104,43267,0.79,94,0
1998,33997,79249,0.43,94,0
1999,36298,45507,0.8,94,0
2000,38011,47694,0.8,94,0
2001,40133,50230,0.8,94,0
2002,42378,52984,0.8,94,0
2003,46249,57839,0.8,94,0
2004,49370,61522,0.8,94,0
2005,53675,66560,0.81,94,0
2006,55759,69378,0.8,94,0
2007,56734,70764,0.8,94,0
2008,58435,73347,0.8,94,0
2009,61292,76702,0.8,94,0
2010,62644,79337,0.79,94,0
2011,60963,79249,0.77,94,0
2012,60765,80314,0.76,94,0
2013,60387,80654,0.75,94,0
2014,60569,81325,0.74,94,0
1997,37865,43377,0.87,95,0
1998,40214,96249,0.42,95,0
1999,43080,48653,0.89,95,0
2000,46118,52091,0.89,95,0
2001,50112,56448,0.89,95,0
2002,53980,61338,0.88,95,0
2003,57442,65288,0.88,95,0
2004,61509,69877,0.88,95,0
2005,65795,74640,0.88,95,0
2006,69344,78950,0.88,95,0
2007,73674,83483,0.88,95,0
2008,78511,89205,0.88,95,0
2009,82143,92615,0.89,95,0
2010,84527,94817,0.89,95,0
2011,85111,96249,0.88,95,0
2012,85511,96771,0.88,95,0
2013,85523,98017,0.87,95,0
2014,86055,98791,0.87,95,0
1997,25206,34853,0.72,96,0
1998,26394,84156,0.31,96,0
1999,27909,38424,0.73,96,0
2000,29969,41397,0.72,96,0
2001,33056,45385,0.73,96,0
2002,36167,49857,0.73,96,0
2003,39857,54353,0.73,96,0
2004,44078,60359,0.73,96,0
2005,46465,64126,0.72,96,0
2006,49961,69398,0.72,96,0
2007,51780,72682,0.71,96,0
2008,53241,74522,0.71,96,0
2009,56309,77397,0.73,96,0
2010,59593,81760,0.73,96,0
2011,61107,84156,0.73,96,0
2012,64487,87031,0.74,96,0
2013,64477,85304,0.76,96,0
2014,66506,89001,0.75,96,0
1997,10063,14733,0.68,97,0
1998,10949,27409,0.4,97,0
1999,11742,16677,0.7,97,0
2000,12607,17444,0.72,97,0
2001,14360,18571,0.77,97,0
2002,15532,20078,0.77,97,0
2003,16208,21510,0.75,97,0
2004,16682,22517,0.74,97,0
2005,17818,24584,0.72,97,0
2006,18985,26408,0.72,97,0
2007,19647,27647,0.71,97,0
2008,20296,27076,0.75,97,0
2009,21179,29895,0.71,97,0
2010,21805,28145,0.77,97,0
2011,21644,27409,0.79,97,0
2012,22429,27941,0.8,97,0
2013,23330,28799,0.81,97,0
2014,24367,29731,0.82,97,0
1997,740,1620,0.46,98,0
1998,845,4222,0.2,98,0
1999,951,1940,0.49,98,0
2000,1072,2027,0.53,98,0
2001,1177,2057,0.57,98,0
2002,1248,2135,0.58,98,0
2003,1328,2400,0.55,98,0
2004,1379,2538,0.54,98,0
2005,1433,2634,0.54,98,0
2006,1516,2699,0.56,98,0
2007,1638,2947,0.56,98,0
2008,1674,2929,0.57,98,0
2009,1905,3685,0.52,98,0
2010,2019,4229,0.48,98,0
2011,2051,4222,0.49,98,0
2012,2100,4555,0.46,98,0
2013,2090,4594,0.45,98,0
2014,2100,4885,0.43,98,0
1997,1393,1477,0.94,99,0
1998,1414,2769,0.51,99,0
1999,1438,1510,0.95,99,0
2000,1456,1627,0.89,99,0
2001,1503,1737,0.87,99,0
2002,1571,1841,0.85,99,0
2003,1899,2252,0.84,99,0
2004,2045,2446,0.84,99,0
2005,2078,2499,0.83,99,0
2006,2121,2617,0.81,99,0
2007,2165,2547,0.85,99,0
2008,2304,2905,0.79,99,0
2009,2495,2935,0.85,99,0
2010,2462,2832,0.87,99,0
2011,2902,2769,1.05,99,0
2012,2988,3204,0.93,99,0
2013,3121,3414,0.91,99,0
2014,3122,3309,0.94,99,0
1997,1128,5347,0.21,100,0
1998,1303,9268,0.14,100,0
1999,1508,6295,0.24,100,0
2000,1784,6485,0.28,100,0
2001,1915,6570,0.29,100,0
2002,2055,7425,0.28,100,0
2003,2217,8033,0.28,100,0
2004,2385,8627,0.28,100,0
2005,2457,9214,0.27,100,0
2006,2646,9326,0.28,100,0
2007,2996,9614,0.31,100,0
2008,2997,10172,0.29,100,0
2009,3051,9097,0.34,100,0
2010,2722,8407,0.32,100,0
2011,2810,9268,0.3,100,0
2012,3271,9800,0.33,100,0
2013,3585,9950,0.36,100,0
2014,3635,10212,0.36,100,0
1997,681,1863,0.37,101,0
1998,838,3990,0.21,101,0
1999,982,2368,0.41,101,0
2000,1179,2583,0.46,101,0
2001,1348,2678,0.5,101,0
2002,1465,3020,0.49,101,0
2003,1598,3336,0.48,101,0
2004,1632,3612,0.45,101,0
2005,1700,3868,0.44,101,0
2006,1828,3967,0.46,101,0
2007,1996,4016,0.5,101,0
2008,2162,4219,0.51,101,0
2009,2364,4181,0.57,101,0
2010,2451,4173,0.59,101,0
2011,2450,3990,0.61,101,0
2012,2802,4868,0.58,101,0
2013,2234,4288,0.52,101,0
2014,2290,4430,0.52,101,0
1997,4584,5335,0.86,102,0
1998,4751,13112,0.36,102,0
1999,4989,6316,0.79,102,0
2000,5090,6695,0.76,102,0
2001,5660,7345,0.77,102,0
2002,6226,8120,0.77,102,0
2003,6486,8633,0.75,102,0
2004,6901,9172,0.75,102,0
2005,7519,9756,0.77,102,0
2006,7943,10213,0.78,102,0
2007,8359,10603,0.79,102,0
2008,8499,11340,0.75,102,0
2009,8008,11175,0.72,102,0
2010,11317,12685,0.89,102,0
2011,11137,13112,0.85,102,0
2012,10728,13743,0.78,102,0
2013,11298,14421,0.78,102,0
2014,11492,14996,0.77,102,0
1997,530,981,0.54,103,0
1998,646,2295,0.28,103,0
1999,739,1173,0.63,103,0
2000,848,1256,0.68,103,0
2001,900,1169,0.77,103,0
2002,898,1156,0.78,103,0
2003,922,1180,0.78,103,0
2004,980,1281,0.77,103,0
2005,1006,1292,0.78,103,0
2006,1019,1351,0.75,103,0
2007,1093,1400,0.78,103,0
2008,1122,1636,0.69,103,0
2009,1326,1804,0.74,103,0
2010,1528,1916,0.8,103,0
2011,1794,2295,0.78,103,0
2012,1698,2163,0.79,103,0
2013,1903,2538,0.75,103,0
2014,2005,2744,0.73,103,0
1997,1489,6823,0.22,104,0
1998,1683,15367,0.11,104,0
1999,1809,7613,0.24,104,0
2000,2003,8285,0.24,104,0
2001,2236,8846,0.25,104,0
2002,2357,9383,0.25,104,0
2003,2491,10044,0.25,104,0
2004,2568,10670,0.24,104,0
2005,2799,11274,0.25,104,0
2006,3046,11669,0.26,104,0
2007,3336,12710,0.26,104,0
2008,3482,13330,0.26,104,0
2009,3925,14492,0.27,104,0
2010,4807,16335,0.29,104,0
2011,4473,15367,0.29,104,0
2012,4828,15609,0.31,104,0
2013,4892,16150,0.3,104,0
2014,4823,16736,0.29,104,0
1997,3100,3405,0.91,105,0
1998,3289,5868,0.56,105,0
1999,3468,3785,0.92,105,0
2000,3662,3994,0.92,105,0
2001,3855,4212,0.92,105,0
2002,4082,4469,0.91,105,0
2003,4374,4805,0.91,105,0
2004,4442,4918,0.9,105,0
2005,4673,5172,0.9,105,0
2006,4743,5273,0.9,105,0
2007,4842,5361,0.9,105,0
2008,5237,5913,0.89,105,0
2009,4949,5422,0.91,105,0
2010,5698,6173,0.92,105,0
2011,5473,5868,0.93,105,0
2012,5668,6050,0.94,105,0
2013,6005,6438,0.93,105,0
2014,6132,6566,0.93,105,0
