START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
6522,6889.710111,0.008713927,0.009205218,-0.000491291,0.000491291,5.637996183,47,Manufactured goods -  other,1
751,501.2842738,0.001003398,0.000669757,0.000333641,0.000333641,33.25109537,48,Repair - ships and boats,1
3307,3127.744683,0.004418424,0.004178924,0.0002395,0.0002395,5.420481317,49,Repair - aircraft and spacecraft,1
11020,8724.130975,0.014723625,0.011656155,0.00306747,0.00306747,20.83365721,50,Other repair and installation,1
20905,17974.70537,0.027930796,0.024015682,0.003915114,0.003915114,14.01719507,51,Electricity,1
5999,7661.378377,0.008015157,0.010236231,-0.002221074,0.002221074,27.71092477,52,"Natural gas, steam and air-con supply",1
1209,1129.317184,0.001615323,0.00150886,0.000106463,0.000106463,6.590803677,53,Water,1
1571,1514.837624,0.002098985,0.002023947,7.50375E-05,7.50375E-05,3.574944388,54,Sewerage,1
5258,6926.930937,0.00702512,0.009254948,-0.002229829,0.002229829,31.74079377,55,Waste collection and recycling,1
193,169.302652,0.000257864,0.000226202,3.16616E-05,3.16616E-05,12.27841864,56,Waste management,1
53703,59274.59784,0.071751617,0.079195729,-0.007444112,0.007444112,10.37483536,57,Construction,1
6397,8057.342034,0.008546917,0.01076527,-0.002218353,0.002218353,25.95501069,58,"Motor vehicles - wholesale, retail and repair",1
0,0,0,0,0,0,0,59,Wholesale trade exc. motor vehicles,1
0,0,0,0,0,0,0,60,Retail trade exc. motor vehicles,1
1534,1442.084694,0.00204955,0.001926744,0.000122806,0.000122806,5.991871334,61,Rail,1
24077,22118.2964,0.032168849,0.02955186,0.002616989,0.002616989,8.135164667,62,Land transport exc. rail,1
2200,1388.309935,0.002939381,0.001854896,0.001084485,0.001084485,36.89500295,63,Water transport,1
5285,4395.046999,0.007061194,0.005872144,0.00118905,0.00118905,16.83922423,64,Air transport,1
20851,19788.21915,0.027858648,0.026438685,0.001419962,0.001419962,5.097025812,65,Warehousing and transport support,1
8917,8279.325434,0.011913844,0.011061859,0.000851986,0.000851986,7.151223127,66,Postal and courier,1
5356,4541.060533,0.007156056,0.00606723,0.001088826,0.001088826,15.21544935,67,Accommodation,1
4137,5316.116334,0.005527372,0.007102768,-0.001575396,0.001575396,28.50172429,68,Pubs and restaurants,1
8514,6310.273823,0.011375403,0.008431044,0.002944359,0.002944359,25.88355857,69,Book publishing,1
2625,2074.994581,0.003507216,0.002772363,0.000734852,0.000734852,20.95258737,70,"Other media publishing, broadcast and production",1
15387,15321.30443,0.020558295,0.020470521,8.77747E-05,8.77747E-05,0.426955027,71,Telecommunications,1
8688,21642.7467,0.011607881,0.028916486,-0.017308605,0.017308605,149.1108045,72,Computer programming and related consultacy,1
3248,3399.782479,0.004339595,0.004542389,-0.000202794,0.000202794,4.673105887,73,Information services,1
35520,32964.3813,0.047457636,0.04404312,0.003414516,0.003414516,7.194872456,74,Financial services exc. insurance,1
6972,11489.02165,0.009315164,0.015350276,-0.006035112,0.006035112,64.78803285,75,Insurance,1
5238,6226.239228,0.006998398,0.008318767,-0.001320369,0.001320369,18.8667283,76,Financial auxiliary services,1
